行政區,類型,幼兒園,可招生名額,登記名額,錄取名額,招生簡章網址,-
七股區,3歲以上,三股國小附設幼兒園,34,0,0,https://pse.is/3cvepj,
七股區,3歲以上,竹橋國小附設幼兒園,13,0,0,https://reurl.cc/l028Nd,
七股區,3歲以上,後港國小附設幼兒園,5,0,0,https://pse.is/3d8d78,
下營區,3歲以上,下營國小附設幼兒園,30,13,0,https://pse.is/3ddl5r,
下營區,3歲以上,中營國小附設幼兒園,25,12,0,www.jyes.tn.edu.tw,
下營區,3歲以上,東興國小附設幼兒園,30,22,0,https://pse.is/3elu5j,
下營區,3歲以上,賀建國小附設幼兒園,25,3,0,https://pse.is/3cjvxw,
大內區,3歲以上,二溪國小附設幼兒園,20,0,0,https://reurl.cc/o93d7q,
大內區,3歲以上,大內國小附設幼兒園,26,0,0,http://www.dnes.tn.edu.tw,
山上區,3歲以上,山上國小附設幼兒園,20,0,0,https://pse.is/3cml8e,
中西區,2歲,臺南市立第一幼兒園,16,0,0,https://pse.is/3bk6q3,
中西區,3歲以上,中山國中附設幼兒園,4,0,0,https://tinyurl.com/yhhptg75,
中西區,3歲以上,成功國小附設幼兒園,30,0,0,https://pse.is/M3VLU,
中西區,3歲以上,協進國小附設幼兒園,114,0,0,https://pse.is/38wcxw,
中西區,3歲以上,忠義國小附設幼兒園,39,0,0,http://www.cies.tn.edu.tw/,
中西區,3歲以上,進學國小附設幼兒園,39,0,0,https://reurl.cc/OXerNy,
中西區,3歲以上,臺南市立第一幼兒園,53,0,0,https://pse.is/3bk6q3,
仁德區,2歲,臺南市立仁德幼兒園,16,0,0,http://rdkg.tn.edu.tw/,
仁德區,3歲以上,大甲國小附設幼兒園,13,4,0,https://pse.is/3cy5s5,
仁德區,3歲以上,仁和國小附設幼兒園,9,0,0,https://pse.is/3emaq7,
仁德區,3歲以上,文賢國小附設幼兒園,10,0,0,https://pse.is/3bvk7b,
仁德區,3歲以上,依仁國小附設幼兒園,12,0,0,https://pse.is/3djtrm,
仁德區,3歲以上,長興國小附設幼兒園,19,0,0,https://pse.is/3cjcmz,
仁德區,3歲以上,臺南市立仁德幼兒園,152,0,0,http://rdkg.tn.edu.tw/,
仁德區,3歲以上,德南國小附設幼兒園,45,0,0,https://pse.is/3ebqak,
六甲區,3歲以上,六甲國小附設幼兒園,66,0,0,https://pse.is/3djbch,
六甲區,3歲以上,林鳳國小附設幼兒園,5,11,0,https://pse.is/3cbgz6,
六甲區,3歲以上,嘉南國小附設幼兒園,16,6,0,https://pse.is/3ekjrk,
北門區,3歲以上,北門國小附設幼兒園,22,0,0,https://pse.is/3ebkzf,
北門區,3歲以上,蚵寮國小附設幼兒園,25,0,0,https://reurl.cc/Xeya63,
北門區,3歲以上,錦湖國小附設幼兒園,15,2,0,https://reurl.cc/zbE7yp,
北門區,3歲以上,雙春國小附設幼兒園,7,3,0,https://pse.is/3at7fg,
"北區 ",3歲以上,大光國小附設幼兒園,52,0,0,https://tinyurl.com/yfws8qmh,
"北區 ",3歲以上,大港國小附設幼兒園,48,43,0,https://pse.is/3cxsnz,
"北區 ",3歲以上,公園國小附設幼兒園,56,0,0,https://pse.is/3e969a,
"北區 ",3歲以上,文元國小附設幼兒園,22,0,0,https://reurl.cc/v58pXa,
"北區 ",3歲以上,立人國小附設幼兒園,62,0,0,https://pse.is/3cyk9m,
"北區 ",3歲以上,開元國小附設幼兒園,56,0,0,https://reurl.cc/jqOoon,
"北區 ",3歲以上,臺南市立小康幼兒園,27,0,0,https://pse.is/3cpjr7,
"北區 ",3歲以上,臺南市立小康幼兒園文元分班,11,0,0,https://pse.is/3cpjr7,
"北區 ",3歲以上,賢北國小附設幼兒園,21,0,0,https://pse.is/3cwqey,
左鎮區,3歲以上,左鎮國小附設幼兒園,8,0,0,https://pse.is/3b2enj,
左鎮區,3歲以上,光榮國小附設幼兒園,12,0,0,https://reurl.cc/Q7Oxy2,
永康區,3歲以上,三村國小附設幼兒園,24,0,0,https://reurl.cc/v58vNo,
永康區,3歲以上,大橋國小附設幼兒園,37,0,0,https://www.dcps.tn.edu.tw,
永康區,3歲以上,大灣國小附設幼兒園,45,0,0,https://pse.is/3d37jw,
永康區,3歲以上,五王國小附設幼兒園,23,0,0,https://www.wwes.tn.edu.tw/,
永康區,3歲以上,永信國小附設幼兒園,20,0,0,https://www.yuses.tn.edu.tw/,
永康區,3歲以上,永康國小附設幼兒園,74,0,0,https://ppt.cc/fViY9x,
永康區,3歲以上,永康勝利國小附設幼兒園,17,0,0,http://www.sles.tn.edu.tw/,
永康區,3歲以上,永康復興國小附設幼兒園,47,0,0,https://pse.is/3cw9wd,
永康區,3歲以上,西勢國小附設幼兒園,14,20,0,https://tinyurl.com/yzg5wdjd,
永康區,3歲以上,崑山國小附設幼兒園,85,3,0,https://reurl.cc/GdQQ9W,
永康區,3歲以上,龍潭國小附設幼兒園,55,0,0,https://reurl.cc/2bv6Er,
玉井區,3歲以上,玉井國小附設幼兒園,17,0,0,https://pse.is/3cychp,
玉井區,3歲以上,層林國小附設幼兒園,24,5,0,https://reurl.cc/qm3vEN,
白河區,3歲以上,大竹國小附設幼兒園,14,11,0,https://www.djps.tn.edu.tw/,
白河區,3歲以上,內角國小附設幼兒園,17,4,0,https://reurl.cc/YWojbl,
白河區,3歲以上,仙草國小附設幼兒園,6,0,0,https://pse.is/3cpun8,
白河區,3歲以上,玉豐國小附設幼兒園,11,4,0,https://www.bhyfes.tn.edu.tw/modules/tadnews/index.php?nsn=427,
白河區,3歲以上,白河國小附設幼兒園,19,0,0,https://www.bhes.tn.edu.tw/,
白河區,3歲以上,竹門國小附設幼兒園,22,3,0,https://reurl.cc/g83VgV,
白河區,3歲以上,河東國小附設幼兒園,11,10,0,http://www.hdps.tn.edu.tw/,
安平區,3歲以上,石門國小附設幼兒園,13,0,0,https://pse.is/3dk883,
安平區,3歲以上,安平國小附設幼兒園,33,29,0,https://reurl.cc/Xe9ZeE,
安平區,3歲以上,新南國小附設幼兒園,71,0,0,https://pse.is/3ddzem,
安平區,3歲以上,臺南市立第三幼兒園,32,0,0,https://tinyurl.com/yz4s8onb,
安平區,3歲以上,臺南市立第三幼兒園伍德分班,7,0,0,https://tinyurl.com/yz4s8onb,
安平區,3歲以上,億載國小附設幼兒園,38,0,0,https://pse.is/3dhx4f,
安定區,3歲以上,安定南興國小附設幼兒園,13,0,0,https://reurl.cc/Q7OEzo,
安定區,3歲以上,安定國小附設幼兒園,20,0,0,https://pse.is/3c2rw8,
安定區,3歲以上,南安國小附設幼兒園,22,0,0,https://reurl.cc/1gpXGm,
安南區,2歲,臺南市立第六幼兒園,16,8,0,https://pse.is/F2HHB,
安南區,2歲,臺南市立第四幼兒園,16,0,0,https://pse.is/3atpy4,
安南區,3歲以上,九份子國中小附設幼兒園,51,0,0,https://reurl.cc/7yYgDQ,
安南區,3歲以上,土城國小附設幼兒園,18,0,0,https://pse.is/3dqh6d,
安南區,3歲以上,安佃國小附設幼兒園,17,0,0,https://pse.is/3a6b3a,
安南區,3歲以上,安順國小附設幼兒園,73,0,0,https://pse.is/3c3fnw,
安南區,3歲以上,安慶國小附設幼兒園,50,0,0,https://tinyurl.com/yhogja2s,
安南區,3歲以上,和順國小附設幼兒園,50,0,0,https://pse.is/3b6jyf,
安南區,3歲以上,長安國小附設幼兒園,17,0,0,https://pse.is/3d8pbp,
安南區,3歲以上,青草國小附設幼兒園,11,0,0,https://reurl.cc/2bvae4,
安南區,3歲以上,南興國小附設幼兒園,11,0,0,https://tinyurl.com/yjs54tyu,
安南區,3歲以上,海佃國中附設幼兒園,15,0,0,https://reurl.cc/0Dya96,
安南區,3歲以上,海東國小附設幼兒園,63,0,0,https://pse.is/3drlgt,
安南區,3歲以上,臺南市立第五幼兒園,25,0,0,https://pse.is/3br9fu,
安南區,3歲以上,臺南市立第五幼兒園十二佃分班,13,0,0,https://pse.is/3br9fu,
安南區,3歲以上,臺南市立第五幼兒園淵西分班,9,0,0,https://pse.is/3br9fu,
安南區,3歲以上,臺南市立第六幼兒園,4,4,0,https://pse.is/F2HHB,
安南區,3歲以上,臺南市立第六幼兒園城南分班,14,4,0,https://pse.is/F2HHB,
安南區,3歲以上,臺南市立第六幼兒園砂崙分班,12,6,0,https://pse.is/F2HHB,
安南區,3歲以上,臺南市立第六幼兒園顯宮分班,15,4,0,https://pse.is/F2HHB,
安南區,3歲以上,臺南市立第四幼兒園,28,0,0,https://pse.is/3ajjv3,
安南區,3歲以上,臺南市立第四幼兒園大同分班,17,0,0,https://pse.is/3atpy4,
安南區,3歲以上,臺南市立第四幼兒園安順分班,30,0,0,https://pse.is/39skay,
安南區,3歲以上,臺南市立第四幼兒園安慶分班,10,0,0,https://reurl.cc/R68E0Z,
安南區,3歲以上,臺南市立第四幼兒園州南分班,10,0,0,https://pse.is/3e2dtq,
安南區,3歲以上,臺南市立第四幼兒園原佃分班,11,0,0,https://pse.is/3bdf8r,
安南區,3歲以上,臺南市立第四幼兒園頂安分班,12,0,0,https://pse.is/ECQ5Q,
安南區,3歲以上,臺南市立第四幼兒園總頭分班,14,0,0,https://pse.is/3df55d,
安南區,3歲以上,學東國小附設幼兒園,12,0,0,http://120.115.20.23/~htk116/,
安南區,3歲以上,鎮海國小附設幼兒園,16,0,0,https://pse.is/3c5gne,
安南區,3歲以上,顯宮國小附設幼兒園,13,0,0,https://reurl.cc/Dv8Eq5,
西港區,3歲以上,西港成功國小附設幼兒園,11,0,0,https://reurl.cc/e9AVdx,
西港區,3歲以上,西港國小附設幼兒園,18,0,0,https://reurl.cc/zbEKZa,
西港區,3歲以上,後營國小附設幼兒園,7,2,0,https://pse.is/3d52au,
西港區,3歲以上,港東國小附設幼兒園,10,0,0,https://reurl.cc/dVvQDD,
佳里區,3歲以上,子龍國小附設幼兒園,25,0,0,https://www.facebook.com/preschool.of.zihlong,
佳里區,3歲以上,仁愛國小附設幼兒園,18,0,0,https://pse.is/3d66yz,
佳里區,3歲以上,佳里國小附設幼兒園,29,0,0,https://reurl.cc/6yX9NO,
佳里區,3歲以上,佳興國小附設幼兒園,27,6,0,https://pse.is/3ds4jk,
佳里區,3歲以上,延平國小附設幼兒園,18,2,0,https://www.ypes.tn.edu.tw/modules/tadnews/index.php?nsn=419,
佳里區,3歲以上,信義國小附設幼兒園,19,0,0,https://pse.is/3cuvge,
佳里區,3歲以上,通興國小附設幼兒園,18,0,0,https://pse.is/3b77cr,
佳里區,3歲以上,塭內國小附設幼兒園,23,0,0,https://www.facebook.com/wneskid/,
官田區,3歲以上,官田國小附設幼兒園,12,0,0,https://pse.is/3b8w9a,
官田區,3歲以上,渡拔國小附設幼兒園,21,0,0,https://www.dbes.tn.edu.tw/,
官田區,3歲以上,隆田國小附設幼兒園,20,0,0,https://pse.is/3cpaq2,
東山區,3歲以上,吉貝耍國小附設幼兒園,21,5,0,https://www.dhes.tn.edu.tw/,
東山區,3歲以上,東山國小附設幼兒園,18,0,0,https://kids.doses.tn.edu.tw/,
東山區,3歲以上,東原國小附設幼兒園,18,0,0,https://pse.is/3b7qvz,
東山區,3歲以上,青山國小附設幼兒園,11,0,0,https://reurl.cc/qm3GQg,
東山區,3歲以上,聖賢國小附設幼兒園,17,0,0,https://pse.is/3c4cg8,
"東區 ",3歲以上,大同國小附設幼兒園,22,0,0,http://tteskids.blogspot.com/,
"東區 ",3歲以上,忠孝國中附設幼兒園,11,0,0,https://reurl.cc/WEVADD,
"東區 ",3歲以上,東光國小附設幼兒園,79,0,0,https://www.tkes.tn.edu.tw/,
"東區 ",3歲以上,崇明國小附設幼兒園,28,0,0,https://pse.is/3csgjt,
"東區 ",3歲以上,崇學國小附設幼兒園,36,0,0,https://reurl.cc/R6QYxe,
"東區 ",3歲以上,勝利國小附設幼兒園,19,0,0,https://reurl.cc/Xe9Zr3,
"東區 ",3歲以上,博愛國小附設幼兒園,32,0,0,https://reurl.cc/E2y2oA,
"東區 ",3歲以上,復興國小附設幼兒園,76,0,0,https://reurl.cc/nnynod,
"東區 ",3歲以上,臺南市立小康幼兒園小東分班,10,0,0,https://pse.is/3cpbz7,
"東區 ",3歲以上,德高國小附設幼兒園,18,0,0,https://reurl.cc/a5A7gY,
南化區,3歲以上,北寮國小附設幼兒園,18,0,0,https://pse.is/3cxqzz,
南化區,3歲以上,玉山國小附設幼兒園,26,2,0,http://www.ysps.tn.edu.tw/modules/tadnews/index.php?nsn=1149,
南化區,3歲以上,西埔國小附設幼兒園,29,1,0,https://pse.is/3e7una,
南化區,3歲以上,南化國小附設幼兒園,20,8,0,https://www.nhes.tn.edu.tw/modules/tadnews/index.php?nsn=753,
南化區,3歲以上,瑞峰國小附設幼兒園,10,0,0,https://pse.is/3dq62g,
"南區 ",3歲以上,日新國小附設幼兒園,28,0,0,https://reurl.cc/zbEVjN,
"南區 ",3歲以上,永華國小附設幼兒園,27,0,0,https://tinyurl.com/yjta5sqv,
"南區 ",3歲以上,省躬國小附設幼兒園,15,0,0,https://reurl.cc/v58Loy,
"南區 ",3歲以上,喜樹國小附設幼兒園,15,0,0,https://pse.is/3dhtam,
"南區 ",3歲以上,新興國小附設幼兒園,3,0,0,https://pse.is/3dryb5,
"南區 ",3歲以上,臺南市立第二幼兒園,48,0,0,https://sites.google.com/site/tainansecond/,
"南區 ",3歲以上,臺南市立第二幼兒園明德分班,25,0,0,https://sites.google.com/site/tainansecond/,
"南區 ",3歲以上,臺南市立第三幼兒園灣裡分班,22,0,0,https://tinyurl.com/yz4s8onb,
"南區 ",3歲以上,龍崗國小附設幼兒園,22,0,0,https://pse.is/3ds8lb,
後壁區,3歲以上,安溪國小附設幼兒園,15,0,0,https://reurl.cc/dV84e2,
後壁區,3歲以上,後壁國小附設幼兒園,19,0,0,https://pse.is/3c44u9,
後壁區,3歲以上,菁寮國小附設幼兒園,13,3,0,https://pse.is/3drxev,
後壁區,3歲以上,新東國小附設幼兒園,11,0,0,https://pse.is/J73WD,
後壁區,3歲以上,新嘉國小附設幼兒園,22,0,0,http://www.hces.tn.edu.tw/,
柳營區,3歲以上,太康國小附設幼兒園,14,8,0,https://pse.is/3dcx86,
柳營區,3歲以上,果毅國小附設幼兒園,19,4,0,https://reurl.cc/MZG3Mp,
柳營區,3歲以上,柳營國小附設幼兒園,11,0,0,https://reurl.cc/WE7zeD,
柳營區,3歲以上,重溪國小附設幼兒園,11,0,0,https://pse.is/3a4rnm,
柳營區,3歲以上,新山國小附設幼兒園,14,0,0,http://www.ssaes.tn.edu.tw/,
將軍區,2歲,臺南市立將軍幼兒園,32,0,0,https://pse.is/3dcv2f,
將軍區,3歲以上,漚汪國小附設幼兒園,25,7,0,https://pse.is/3ehxex,
將軍區,3歲以上,臺南市立將軍幼兒園,25,0,0,https://pse.is/3dcv2f,
將軍區,3歲以上,鯤鯓國小附設幼兒園,13,0,0,https://ssur.cc/h97df,
麻豆區,2歲,臺南市立麻豆幼兒園,16,17,0,https://reurl.cc/9ZQbQO,
麻豆區,3歲以上,大山國小附設幼兒園,9,0,0,https://pse.is/3ckq3b,
麻豆區,3歲以上,文正國小附設幼兒園,14,0,0,https://tinyurl.com/yzfjp7yv,
麻豆區,3歲以上,北勢國小附設幼兒園,15,4,0,https://pse.is/3d42dq,
麻豆區,3歲以上,安業國小附設幼兒園,11,12,0,https://reurl.cc/R6QLYr,
麻豆區,3歲以上,紀安國小附設幼兒園,15,0,0,https://pse.is/3cq6tj,
麻豆區,3歲以上,培文國小附設幼兒園,25,0,0,https://pse.is/3e2mw9,
