區別,幼兒園名稱,核准設立日期,設立許可文號,幼兒園電話,幼兒園住址,核定總招收人數
新營區,臺南市新營區新進國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)6330651,[730]臺南市新營區忠政里11鄰中正路41號,60
新營區,臺南市新營區新營國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)6326109,[730]臺南市新營區大宏里13鄰中正路4號,120
新營區,臺南市新營區土庫國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)6362323#127,[730]臺南市新營區土庫里8鄰71-1號,30
新營區,臺南市新營區公誠國民小學附設幼兒園,1980/07/22,府教國字第81053號,(06)6333689,[730]臺南市新營區興業里4鄰公誠街5號,60
新營區,臺南市新營區新興國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)6523779#208,[730]臺南市新營區太南里19鄰316號,30
新營區,臺南市新營區南梓實驗小學附設幼兒園,1980/07/22,府教國字第81053號,(06)6590607#10,[730]臺南市新營區南紙里11鄰太子路188號,120
新營區,臺南市新營區新橋國民小學附設幼兒園,2017/08/01,南市教特(一)字第1060919098B號,(06)6581343#20,[730]臺南市新營區鐵線里1鄰1號,30
新營區,臺南市新營區新生國民小學附設幼兒園,2020/08/01,南市教特(一)字第1091065256K號,(06)6552524#17,[730]臺南市新營區姑爺里6鄰52號,15
新營區,臺南市新營區新民國民小學附設幼兒園,1980/07/22,府教國字第81053號,(06)6590541#10,[730]臺南市新營區新南里6鄰秦漢街118號,53
新營區,臺南市新營區新泰國民小學附設幼兒園,2002/06/11,府教特字第92436號,(06)6330496#702,[730]臺南市新營區新東里15鄰東學路77號,60
鹽水區,臺南市鹽水區鹽水國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)6528217#10,[737]臺南市鹽水區水秀里7鄰朝琴路137號,90
鹽水區,臺南市鹽水區月津國民小學附設幼兒園,1986/08/19,府教國字第99305號,(06)6521061,[737]臺南市鹽水區橋南里15鄰月津路16號,60
鹽水區,臺南市鹽水區仁光國民小學附設幼兒園,1998/12/16,府教國字第222383號,(06)6523620#27,[737]臺南市鹽水區舊營里3鄰117號,30
鹽水區,臺南市鹽水區岸內國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)6520651,[737]臺南市鹽水區岸內里14鄰新岸內96號,30
鹽水區,臺南市鹽水區歡雅國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)6552225,[737]臺南市鹽水區歡雅里2鄰31號,30
鹽水區,臺南市鹽水區文昌國民小學附設幼兒園,1980/07/22,府教國字第81053號,(06)6522664,[737]臺南市鹽水區後宅里3鄰10-3號,30
鹽水區,臺南市鹽水區坔頭港國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)6892014,[737]臺南市鹽水區南港里9鄰202號,30
鹽水區,臺南市鹽水區竹埔國民小學附設幼兒園,1997/04/02,府教國字第053799號,(06)6551001#21,[737]臺南市鹽水區竹林里5鄰竹子脚92-1號,30
白河區,臺南市白河區白河國民小學附設幼兒園,1979/07/16,府教辦字第77587號,(06)6852177#2001,[732]臺南市白河區永安里15鄰三民路448號,60
白河區,臺南市白河區河東國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)6852896,[732]臺南市白河區河東里6鄰83-1號,30
白河區,臺南市白河區仙草實驗小學附設幼兒園,2017/08/01,南市教特(一)字第1060919098A號,(06)6852606,[732]臺南市白河區仙草里5鄰22號,15
白河區,臺南市白河區玉豐國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)6852524#14,[732]臺南市白河區玉豐里10鄰85號,30
白河區,臺南市白河區大竹國民小學附設幼兒園,1973/11/17,南府教二字第108107號,(06)6856212,[732]臺南市白河區大竹里1鄰3號,30
白河區,臺南市白河區竹門國民小學附設幼兒園,2012/08/01,南市教幼字第1010673070號,(06)6852097,[732]臺南市白河區竹門里10鄰113號,30
白河區,臺南市白河區內角國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)6817363,[732]臺南市白河區內角里12鄰1號,30
柳營區,臺南市柳營區柳營國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)6222124#108,[736]臺南市柳營區士林里15鄰柳營路一段755號,30
柳營區,臺南市柳營區太康國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)6220684#20,[736]臺南市柳營區太康里1鄰4-1號,30
柳營區,臺南市柳營區重溪國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)6231760,[736]臺南市柳營區重溪里1鄰義士路二段2號,30
柳營區,臺南市柳營區果毅國民小學附設幼兒園,1980/07/22,府教國字第81053號,(06)6231310#271,[736]臺南市柳營區果毅里6鄰61號,30
柳營區,臺南市柳營區新山國民小學附設幼兒園,1996/04/20,府教國字第63778號,(06)6231140#67,[736]臺南市柳營區旭山里4鄰新吉庄28-1號,30
後壁區,臺南市後壁區後壁國民小學附設幼兒園,1980/07/22,府教國字第81053號,(06)6872915,[731]臺南市後壁區後壁里12鄰195號,45
後壁區,臺南市後壁區新東國民小學附設幼兒園,1995/07/11,府教國字第111448號,(06)6320902#31,[731]臺南市後壁區仕安里10鄰81號,30
後壁區,臺南市後壁區安溪國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)6361535#171,[731]臺南市後壁區長安里1鄰5號,30
後壁區,臺南市後壁區菁寮國民小學附設幼兒園,2013/08/01,南市教幼字第1020027494號,(06)6621271#18,[731]臺南市後壁區墨林里10鄰282號,30
後壁區,臺南市後壁區新嘉國民小學附設幼兒園,2000/04/27,府教國字第65096號,(06)6621981#10,[731]臺南市後壁區新嘉里19鄰210-2號,30
東山區,臺南市東山區東山國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)6803994,[733]臺南市東山區東中里4鄰龍鳳一街3號,60
東山區,臺南市東山區吉貝耍國民小學附設幼兒園,1980/07/22,府教國字第81053號,(06)6231149#218,[733]臺南市東山區東河里2鄰15號,30
東山區,臺南市東山區東原國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)6861042#101,[733]臺南市東山區東原里23鄰8號,30
東山區,臺南市東山區青山國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)6863163,[733]臺南市東山區青山里1鄰16號,30
東山區,臺南市東山區聖賢國民小學附設幼兒園,1996/04/20,府教國字第63778號,(06)6353170#27,[733]臺南市東山區聖賢里12鄰田尾29號,30
麻豆區,臺南市麻豆區麻豆國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)5716323,[721]臺南市麻豆區東角里4鄰文昌路18號,90
麻豆區,臺南市麻豆區培文國民小學附設幼兒園,1994/01/21,府教國字第006623號,(06)5720321,[721]臺南市麻豆區興農里3鄰和平路11號,60
麻豆區,臺南市麻豆區北勢國民小學附設幼兒園,1981/08/01,府教國字第73157號,(06)5722844#701,[721]臺南市麻豆區北勢里10鄰北勢寮15號,30
麻豆區,臺南市立麻豆幼兒園,1970/01/01,府社福字第175604號,(06)5715893#211,[721]臺南市麻豆區龍泉里1鄰溝仔墘2-6號,196
麻豆區,臺南市麻豆區文正國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)5722168,[721]臺南市麻豆區南勢里25鄰86號,30
麻豆區,臺南市麻豆區大山國民小學附設幼兒園,1988/03/28,府教國字第35805號,(06)5704463,[721]臺南市麻豆區大山里1鄰大山腳1號,30
麻豆區,臺南市麻豆區港尾國民小學附設幼兒園,2000/04/27,府教國字第65096號,(06)5701341#111,[721]臺南市麻豆區港尾里5鄰9號,30
麻豆區,臺南市麻豆區安業國民小學附設幼兒園,2013/08/01,南市教幼字第1020027494號,(06)5716761,[721]臺南市麻豆區安東里8鄰113號,30
麻豆區,臺南市麻豆區紀安國民小學附設幼兒園,1998/12/16,府教國字第222383號,(06)5722306,[721]臺南市麻豆區謝安里9鄰231號,30
下營區,臺南市下營區下營國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)6892181#312,[735]臺南市下營區仁里里23鄰中山路二段72號,60
下營區,臺南市下營區東興國民小學附設幼兒園,1976/10/04,南府教國字第96076號,(06)6892478#627,[735]臺南市下營區新興里4鄰東興一街112號,60
下營區,臺南市下營區中營國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)6892600#233,[735]臺南市下營區開化里4鄰270號,60
下營區,臺南市下營區賀建國民小學附設幼兒園,1998/06/02,府教國字第94824號,(06)6891109#20,[735]臺南市下營區賀建里5鄰麻豆寮49號,30
六甲區,臺南市六甲區六甲國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)6982041#208,[734]臺南市六甲區六甲里3鄰中正路319號,150
六甲區,臺南市官田區嘉南國民小學附設幼兒園,2002/06/11,府教特字第92436號,(06)6982491,[734]臺南市六甲區龍湖里11鄰珊瑚路301號,30
六甲區,臺南市六甲區林鳳國民小學附設幼兒園,2001/05/08,府教特字第65234號,(06)6983583#117,[734]臺南市六甲區中社里20鄰林鳳營240號,30
官田區,臺南市官田區官田國民小學附設幼兒園,1980/07/22,府教國字第81053號,(06)6901195#201,[720]臺南市官田區官田里1鄰11號,30
官田區,臺南市官田區隆田國民小學附設幼兒園,2001/05/08,府教特字第065234號,(06)5791047#107,[720]臺南市官田區隆田里22鄰中山路一段127號,60
官田區,臺南市官田區渡拔國民小學附設幼兒園,1995/07/11,府教國字第111448號,(06)6901908#15,[720]臺南市官田區拔林里10鄰77-1號,45
大內區,臺南市大內區大內國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)5763601,[742]臺南市大內區大內里5鄰63號,60
大內區,臺南市大內區二溪國民小學附設幼兒園,2001/05/08,府教特字第065234號,(06)5762001#210,[742]臺南市大內區二溪里3鄰154號,30
佳里區,臺南市佳里區信義國民小學附設幼兒園,2017/08/01,南市教特(一)字第1060919098D號,(06)7211918#311,[722]臺南市佳里區忠仁里14鄰信義一街336號,60
佳里區,臺南市佳里區仁愛國民小學附設幼兒園,1978/08/07,府教國字第87835號,(06)7222227,[722]臺南市佳里區鎮山里13鄰仁愛路307號,60
佳里區,臺南市佳里區佳里國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)7210657,[722]臺南市佳里區安西里33鄰公園路445號,60
佳里區,臺南市佳里區佳興國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)7260311#3,[722]臺南市佳里區佳化里22鄰214號,90
佳里區,臺南市佳里區延平國民小學附設幼兒園,2011/05/05,南市教幼字第1000330959A號,(06)7222331#701,[722]臺南市佳里區頂廍里11鄰136號,60
佳里區,臺南市佳里區通興國民小學附設幼兒園,2012/08/01,南市教幼字第1010673070號,(06)7873531#217,[722]臺南市佳里區通興里7鄰5之1號,30
佳里區,臺南市佳里區塭內國民小學附設幼兒園,2011/05/05,南市教幼字第1000330959A號,(06)7891054#731,[722]臺南市佳里區龍安里5鄰40號,60
佳里區,臺南市佳里區子龍國民小學附設幼兒園,2011/05/05,南市教幼字第1000330959A號,(06)7262913,[722]臺南市佳里區三協里5鄰潭墘5號,60
學甲區,臺南市學甲區中洲國民小學附設幼兒園,2021/08/01,南市教特(一)字第1101058403L號,(06)7833214,[726]臺南市學甲區光華里7鄰645號,15
學甲區,臺南市學甲區東陽國民小學附設幼兒園,1986/08/19,府教國字第99305號,(06)7833322#701,[726]臺南市學甲區慈福里1鄰華宗路260號,30
學甲區,臺南市立學甲幼兒園,1970/01/01,府社福字第175604號,(06)7832273,[726]臺南市學甲區秀昌里14鄰下溪洲1-11號,151
學甲區,臺南市學甲區學甲國民小學附設幼兒園,1986/05/20,府教國字第56994號,(06)7833220#337,[726]臺南市學甲區秀昌里3鄰一秀30號,60
學甲區,臺南市學甲區頂洲國民小學附設幼兒園,2021/08/01,南市教特(一)字第1101058403K號,(06)7810231,[726]臺南市學甲區三慶里8鄰頂洲108號,15
