區別,幼兒園名稱,核准設立日期,設立許可文號,幼兒園電話,分機,幼兒園住址,核定總招收人數
新營區,臺南市私立萬是幼兒園,19980414,府社福字第064091號,(06)6370106,,[730]臺南市新營區民權里17鄰武昌街34號,170
新營區,臺南市私立哈佛幼兒園,19920922,府社福字第127993號,(06)6569481,,[730]臺南市新營區三仙里30鄰育德十一街37號,100
新營區,臺南市私立哈佛幼兒園育德分班,20221121,南市教特(一)字第1111484449號,(06)6569481,,[730]臺南市新營區三仙里12鄰育德11街46號,16
新營區,臺南市私立立上幼兒園,19910412,府社福字第43253號,(06)6329771,,[730]臺南市新營區大宏里8鄰文昌街40號,75
新營區,財團法人天主教聖母無原罪方濟傳教修女會附設臺南市私立樂仁幼兒園,19741003,南府教國字第97536號,(06)6323733,,[730]臺南市新營區大宏里8鄰民族路8號,240
新營區,大臺南婦女會附設臺南市私立幼兒園,19921218,府社福字第177776號,(06)6569016,,[730]臺南市新營區民生里7鄰民生路163巷16號、18號,80
新營區,臺南市南新非營利幼兒園(委託財團法人天主教聖母無原罪方濟傳教修女會辦理),20200930,南市教特(一)字第1091200321號,(06)6560938,,[730]臺南市新營區民生里4鄰三興街39號,152
新營區,財團法人佛光山文教基金會附設臺南市私立小天星幼兒園,20001114,府教特字第184252號,(06)6373151,,[730]臺南市新營區埤寮里15鄰長榮路一段510號,240
新營區,臺南市私立新天使幼兒園,20040128,府教特字第0930015763號,(06)6359856,,[730]臺南市新營區護鎮里2鄰中正路479巷45號,180
新營區,臺南市私立大華幼兒園,19840312,府教國字第22979號,(06)6529758,,[730]臺南市新營區太北里1鄰太子宮1-11號,120
新營區,臺南市私立愛群幼兒園,20010730,府教特字第111120號,(06)6572988,,[730]臺南市新營區新北里29鄰金華路二段81號,150
新營區,臺南市新營區農會附設臺南市私立幼兒園,20110923,府社兒字第1000679783號,(06)6561820,,[730]臺南市新營區新北里13鄰周武街79巷21弄6號,80
新營區,臺南市私立大自然幼兒園,19980722,府社福字第129640號,(06)6564726,,[730]臺南市新營區新南里28鄰明清二街46號,60
新營區,臺南市私立新營小太陽幼兒園,19950322,府教國字第044305號,(06)6568889,,[730]臺南市新營區新南里17鄰隋唐街69巷22號,180
