序號,區別,幼兒園名稱,幼兒園電話,幼兒園住址,核定總招收數,核准設立日期,設立許可文號,類型
1,新營區,臺南市新營區新進國民小學附設幼兒園,(06)6330651,[730]臺南市新營區忠政里11鄰中正路41號,60,1977/10/19,府教國字第112219號,公立
2,新營區,臺南市新營區新營國民小學附設幼兒園,(06)6326109,[730]臺南市新營區大宏里13鄰中正路4號,120,1977/10/19,府教國字第112219號,公立
3,新營區,臺南市新營區土庫國民小學附設幼兒園,(06)6362323#120,[730]臺南市新營區土庫里8鄰71-1號,30,1978/08/09,府教國字第87835號,公立
4,新營區,臺南市新營區公誠國民小學附設幼兒園,(06)6333689,[730]臺南市新營區興業里4鄰公誠街5號,60,1980/07/22,府教國字第81053號,公立
5,新營區,臺南市新營區新興國民小學附設幼兒園,(06)6523779#16,[730]臺南市新營區太南里19鄰316號,30,1978/08/09,府教國字第87835號,公立
6,新營區,臺南市新營區南梓實驗小學附設幼兒園,(06)6590607,[730]臺南市新營區南紙里11鄰太子路188號,60,1980/07/22,府教國字第81053號,公立
7,新營區,臺南市新營區新橋國民小學附設幼兒園,(06)6581343#20,[730]臺南市新營區鐵線里1鄰1號,30,2017/08/01,南市教特(一)字第1060919098B號,公立
8,新營區,臺南市新營區新民國民小學附設幼兒園,(06)6590541#10,[730]臺南市新營區新南里6鄰秦漢街118號,53,1980/07/22,府教國字第81053號,公立
9,新營區,臺南市新營區新泰國民小學附設幼兒園,(06)6330496#702,[730]臺南市新營區新東里15鄰東學路77號,30,2002/06/11,府教特字第92436號,公立
10,鹽水區,臺南市鹽水區鹽水國民小學附設幼兒園,(06)6528217#10,[737]臺南市鹽水區水秀里7鄰朝琴路137號,90,1977/10/19,府教國字第112219號,公立
11,鹽水區,臺南市鹽水區月津國民小學附設幼兒園,(06)6521061,[737]臺南市鹽水區橋南里15鄰月津路16號,60,1986/08/19,府教國字第99305號,公立
12,鹽水區,臺南市鹽水區仁光國民小學附設幼兒園,(06)6523620#27,[737]臺南市鹽水區舊營里3鄰117號,30,1998/12/16,府教國字第222383號,公立
13,鹽水區,臺南市鹽水區岸內國民小學附設幼兒園,(06)6520651,[737]臺南市鹽水區岸內里14鄰新岸內96號,30,1977/10/19,府教國字第112219號,公立
14,鹽水區,臺南市鹽水區歡雅國民小學附設幼兒園,(06)6552225,[737]臺南市鹽水區歡雅里2鄰31號,30,1978/08/09,府教國字第87835號,公立
15,鹽水區,臺南市鹽水區文昌國民小學附設幼兒園,(06)6522664,[737]臺南市鹽水區後宅里3鄰10-3號,30,1980/07/22,府教國字第81053號,公立
